hid,pid,sex,relation,inum_x,age,marital,health_c,educlev,status1,ind1_c,occ1_c,basb,bafr1_c,hpopwgt,hhtype,inum_y,saves,y_tilde,groups
202,1,[1]male,[1000]head,1,32,[120]in consensual union,[1]excellent,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,36756.59448184973,[210]couple without children,1,0,1,0
204,1,[1]male,[1000]head,1,33,[110]married,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,"[5]operators, fabricators, and laborers",[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,17955.513524109792,[220]couple with children,1,0,1,0
205,1,[1]male,[1000]head,1,73,[222]divorced,[2]good,[312]bachelor or equivalent,[200]self-employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,9352.596230715915,[100]one person household,1,1,1,0
208,1,[1]male,[1000]head,1,61,[110]married,[3]fair,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,312.41131492595616,[220]couple with children,1,1,1,0
209,1,[1]male,[1000]head,1,29,[110]married,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,21064.173832503315,[220]couple with children,1,1,1,0
211,1,[1]male,[1000]head,1,60,[120]in consensual union,[2]good,[210]upper secondary,[100]dependent employed,[3]manufacturing,"[4]precision production, craft, and repair occupations",[11]does not save: expenses exceed income,[4]not willing to take any financial risks,26897.409936413154,[210]couple without children,1,0,1,0
213,1,[1]male,[1000]head,1,30,[120]in consensual union,[3]fair,[120]primary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,24534.936864972853,[220]couple with children,1,1,1,0
215,1,[1]male,[1000]head,1,60,[110]married,[2]good,[311]short-cycle tertiary,[200]self-employed,[3]manufacturing,[1]managerial and professional occupations,[11]does not save: expenses exceed income,[4]not willing to take any financial risks,20881.003873864935,[210]couple without children,1,0,1,0
216,1,[1]male,[1000]head,1,53,[110]married,[1]excellent,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,8510.408066315573,[210]couple without children,1,1,1,0
217,1,[1]male,[1000]head,1,63,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,32765.131726038326,[210]couple without children,1,1,1,0
218,1,[2]female,[1000]head,1,47,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,21555.155477312932,[400]relatives living together (no family nucleus),1,0,1,0
223,1,[1]male,[1000]head,1,51,[110]married,[1]excellent,[311]short-cycle tertiary,[200]self-employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,10992.519035111029,[220]couple with children,1,1,1,0
226,1,[2]female,[1000]head,1,42,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,19179.688749966856,[230]one parent with children,1,0,1,0
227,1,[1]male,[1000]head,1,58,[222]divorced,[2]good,[130]lower secondary,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,30474.12517463188,[100]one person household,1,1,1,0
228,1,[1]male,[1000]head,1,47,[110]married,[2]good,[130]lower secondary,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services","[5]operators, fabricators, and laborers",[20]saves,[4]not willing to take any financial risks,29867.222855940905,[210]couple without children,1,1,1,0
229,1,[1]male,[1000]head,1,44,[210]never married/not in union,[1]excellent,[313]master or equivalent,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,909.6354443494453,[100]one person household,1,0,1,0
230,1,[1]male,[1000]head,1,35,[110]married,[1]excellent,[312]bachelor or equivalent,[200]self-employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,1248.1036263961007,[220]couple with children,1,1,1,0
231,1,[1]male,[1000]head,1,58,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,182.94613078772986,[210]couple without children,1,1,1,0
232,1,[1]male,[1000]head,1,40,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,[3]manufacturing,"[5]operators, fabricators, and laborers",[20]saves,[4]not willing to take any financial risks,17385.536874159767,[220]couple with children,1,1,1,0
233,1,[1]male,[1000]head,1,46,[110]married,[1]excellent,[311]short-cycle tertiary,[100]dependent employed,[3]manufacturing,"[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,27017.425021610543,[210]couple without children,1,0,1,0
235,1,[1]male,[1000]head,1,55,[110]married,[1]excellent,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,17762.75887752267,[220]couple with children,1,1,1,0
236,1,[1]male,[1000]head,1,37,[221]separated,[1]excellent,[120]primary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[20]saves,[3]take average financial risks expecting to earn average returns,23088.565619435165,[100]one person household,1,1,1,0
238,1,[1]male,[1000]head,1,38,[110]married,[3]fair,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,23552.96522001992,[220]couple with children,1,0,1,0
240,1,[1]male,[1000]head,1,32,[110]married,[1]excellent,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[1]take substantial financial risks expecting to earn substantial returns,27312.51734016459,[220]couple with children,1,1,1,0
241,1,[1]male,[1000]head,1,60,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,[7]public administration and defence,[3]service occupations (including armed forces),[20]saves,[3]take average financial risks expecting to earn average returns,972.2873996670425,[210]couple without children,1,1,1,0
243,1,[1]male,[1000]head,1,57,[110]married,[1]excellent,[210]upper secondary,[200]self-employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,138.74366956117547,[210]couple without children,1,1,1,0
244,1,[1]male,[1000]head,1,49,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,18579.885364196158,[220]couple with children,1,1,1,0
245,1,[1]male,[1000]head,1,58,[110]married,[1]excellent,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,2152.8530388946747,[210]couple without children,1,1,1,0
246,1,[1]male,[1000]head,1,47,[110]married,[2]good,[312]bachelor or equivalent,[200]self-employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,1288.1363741165544,[220]couple with children,1,1,1,0
247,1,[1]male,[1000]head,1,57,[110]married,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,24751.655986119382,[210]couple without children,1,1,1,0
248,1,[1]male,[1000]head,1,43,[110]married,[2]good,[210]upper secondary,[200]self-employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,17334.447843770187,[220]couple with children,1,1,1,0
249,1,[1]male,[1000]head,1,34,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,20885.839814179482,[220]couple with children,1,1,1,0
253,1,[1]male,[1000]head,1,55,[110]married,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,26585.5080137185,[210]couple without children,1,0,1,0
255,1,[1]male,[1000]head,1,60,[222]divorced,[1]excellent,[312]bachelor or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,568.6063045011527,[100]one person household,1,1,1,0
260,1,[2]female,[1000]head,1,34,[221]separated,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,18624.632913526424,[230]one parent with children,1,0,1,0
261,1,[1]male,[1000]head,1,61,[110]married,[2]good,[313]master or equivalent,[200]self-employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,1311.6417679670035,[220]couple with children,1,1,1,0
262,1,[1]male,[1000]head,1,61,[110]married,[2]good,[312]bachelor or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,147.673945266262,[220]couple with children,1,1,1,0
263,1,[1]male,[1000]head,1,48,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,14540.198050585801,[220]couple with children,1,0,1,0
266,1,[1]male,[1000]head,1,69,[110]married,[3]fair,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[4]precision production, craft, and repair occupations",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,29805.09164521426,[210]couple without children,1,0,1,0
267,1,[1]male,[1000]head,1,59,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,134.74018335146633,[210]couple without children,1,1,1,0
269,1,[1]male,[1000]head,1,46,[120]in consensual union,[1]excellent,[311]short-cycle tertiary,[100]dependent employed,[7]public administration and defence,[1]managerial and professional occupations,[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,23052.35176073384,[220]couple with children,1,0,1,0
271,1,[1]male,[1000]head,1,47,[110]married,[1]excellent,[313]master or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,18924.30818900062,[220]couple with children,1,1,1,0
272,1,[2]female,[1000]head,1,50,[222]divorced,[1]excellent,[311]short-cycle tertiary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,30485.924015265457,[230]one parent with children,1,1,1,0
273,1,[1]male,[1000]head,1,45,[221]separated,[1]excellent,[130]lower secondary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,17975.475375913837,[230]one parent with children,1,0,1,0
274,1,[1]male,[1000]head,1,56,[110]married,[1]excellent,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,185.62452493965014,[210]couple without children,1,1,1,0
275,1,[2]female,[1000]head,1,65,[222]divorced,[1]excellent,[313]master or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,31170.732052262727,[100]one person household,1,0,1,0
276,1,[1]male,[1000]head,1,66,[110]married,[2]good,[313]master or equivalent,[200]self-employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,1588.0154376281455,[210]couple without children,1,1,1,0
277,1,[1]male,[1000]head,1,55,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,1427.419393546214,[210]couple without children,1,1,1,0
278,1,[1]male,[1000]head,1,31,[110]married,[2]good,[210]upper secondary,[200]self-employed,[2]mining and construction,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,22827.393857169605,[220]couple with children,1,1,1,0
279,1,[1]male,[1000]head,1,25,[210]never married/not in union,[1]excellent,[210]upper secondary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,20151.7733367669,[100]one person household,1,0,1,0
280,1,[2]female,[1000]head,1,49,[210]never married/not in union,[1]excellent,[312]bachelor or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,7636.846301264023,[100]one person household,1,1,1,0
281,1,[1]male,[1000]head,1,55,[110]married,[2]good,[210]upper secondary,[200]self-employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,1641.222383106923,[220]couple with children,1,1,1,0
283,1,[2]female,[1000]head,1,65,[223]widowed,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,22257.472308709977,[100]one person household,1,1,1,0
286,1,[2]female,[1000]head,1,52,[223]widowed,[3]fair,[210]upper secondary,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,3274.9380453000094,[330]one parent with children and relatives,1,1,1,0
287,1,[2]female,[1000]head,1,50,[222]divorced,[1]excellent,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[3]service occupations (including armed forces),[20]saves,[3]take average financial risks expecting to earn average returns,20740.886508865555,[400]relatives living together (no family nucleus),1,1,1,0
289,1,[1]male,[1000]head,1,30,[110]married,[1]excellent,[210]upper secondary,[200]self-employed,[2]mining and construction,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,23559.524545323307,[220]couple with children,1,1,1,0
292,1,[1]male,[1000]head,1,51,[120]in consensual union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[4]precision production, craft, and repair occupations",[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,32291.724747380507,[220]couple with children,1,0,1,0
293,1,[1]male,[1000]head,1,44,[110]married,[3]fair,[210]upper secondary,[200]self-employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,17192.88434468928,[210]couple without children,1,1,1,0
294,1,[1]male,[1000]head,1,33,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,[7]public administration and defence,[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,42200.15903066523,[220]couple with children,1,1,1,0
296,1,[1]male,[1000]head,1,50,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,18483.19550832445,[220]couple with children,1,1,1,0
297,1,[1]male,[1000]head,1,72,[110]married,[1]excellent,[320]doctorate or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,5683.655113164325,[210]couple without children,1,1,1,0
299,1,[1]male,[1000]head,1,49,[110]married,[2]good,[210]upper secondary,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,27918.962423393703,[220]couple with children,1,0,1,0
300,1,[1]male,[1000]head,1,35,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[4]precision production, craft, and repair occupations",[20]saves,[3]take average financial risks expecting to earn average returns,16400.69269289267,[220]couple with children,1,1,1,0
302,1,[1]male,[1000]head,1,33,[120]in consensual union,[1]excellent,[320]doctorate or equivalent,[100]dependent employed,[3]manufacturing,"[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,27930.073019138134,[210]couple without children,1,1,1,0
303,1,[1]male,[1000]head,1,40,[110]married,[2]good,[311]short-cycle tertiary,[200]self-employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,15571.201932133996,[220]couple with children,1,0,1,0
304,1,[1]male,[1000]head,1,52,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,18814.574059870884,[220]couple with children,1,1,1,0
306,1,[1]male,[1000]head,1,53,[110]married,[1]excellent,[311]short-cycle tertiary,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[5]operators, fabricators, and laborers",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,32456.622284960744,[220]couple with children,1,0,1,0
307,1,[2]female,[1000]head,1,54,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,35135.444064161915,[400]relatives living together (no family nucleus),1,1,1,0
308,1,[2]female,[1000]head,1,66,[222]divorced,[3]fair,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,33298.66624460526,[400]relatives living together (no family nucleus),1,0,1,0
309,1,[2]female,[1000]head,1,26,[222]divorced,[2]good,[311]short-cycle tertiary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,16834.734043233093,[230]one parent with children,1,0,1,0
310,1,[1]male,[1000]head,1,46,[110]married,[2]good,[311]short-cycle tertiary,[100]dependent employed,[4]wholesale and retail trade,"[5]operators, fabricators, and laborers",[20]saves,[3]take average financial risks expecting to earn average returns,34027.46301001875,[210]couple without children,1,1,1,0
311,1,[1]male,[1000]head,1,44,[110]married,[1]excellent,[312]bachelor or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,28392.799299108316,[220]couple with children,1,0,1,0
314,1,[1]male,[1000]head,1,43,[110]married,[2]good,[312]bachelor or equivalent,[200]self-employed,[3]manufacturing,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,12012.51303277205,[220]couple with children,1,0,1,0
315,1,[1]male,[1000]head,1,47,[110]married,[1]excellent,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,63087.557912389166,[320]couple with children and relatives,1,1,1,0
316,1,[1]male,[1000]head,1,47,[110]married,[1]excellent,[313]master or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,1338.362457976246,[220]couple with children,1,1,1,0
317,1,[1]male,[1000]head,1,36,[110]married,[3]fair,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,40149.82245953706,[220]couple with children,1,1,1,0
319,1,[1]male,[1000]head,1,50,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[11]does not save: expenses exceed income,[4]not willing to take any financial risks,21453.169693776308,[220]couple with children,1,0,1,0
321,1,[2]female,[1000]head,1,55,[222]divorced,[1]excellent,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,15341.016566076603,[100]one person household,1,1,1,0
322,1,[2]female,[1000]head,1,26,[222]divorced,[1]excellent,[210]upper secondary,[100]dependent employed,[7]public administration and defence,[3]service occupations (including armed forces),[20]saves,[1]take substantial financial risks expecting to earn substantial returns,17361.87623564735,[100]one person household,1,1,1,0
323,1,[2]female,[1000]head,1,33,[222]divorced,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,20916.888599007092,[230]one parent with children,1,1,1,0
325,1,[1]male,[1000]head,1,68,[110]married,[1]excellent,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[1]take substantial financial risks expecting to earn substantial returns,1885.5569633177506,[210]couple without children,1,1,1,0
326,1,[1]male,[1000]head,1,32,[120]in consensual union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,25631.201508736463,[210]couple without children,1,0,1,0
327,1,[1]male,[1000]head,1,45,[110]married,[2]good,[210]upper secondary,[100]dependent employed,[7]public administration and defence,[3]service occupations (including armed forces),[20]saves,[3]take average financial risks expecting to earn average returns,29295.431284790004,[220]couple with children,1,1,1,0
328,1,[1]male,[1000]head,1,61,[110]married,[2]good,[210]upper secondary,[200]self-employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,13356.738345458692,[210]couple without children,1,1,1,0
331,1,[1]male,[1000]head,1,41,[110]married,[3]fair,[210]upper secondary,[100]dependent employed,[7]public administration and defence,[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,31822.138507469077,[220]couple with children,1,1,1,0
332,1,[1]male,[1000]head,1,58,[110]married,[1]excellent,[210]upper secondary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,32960.8650724312,[210]couple without children,1,0,1,0
333,1,[1]male,[1000]head,1,57,[110]married,[1]excellent,[320]doctorate or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,27552.936519135485,[220]couple with children,1,1,1,0
337,1,[1]male,[1000]head,1,54,[110]married,[2]good,[130]lower secondary,[100]dependent employed,[3]manufacturing,"[5]operators, fabricators, and laborers",[11]does not save: expenses exceed income,[4]not willing to take any financial risks,25881.219803831915,[210]couple without children,1,0,1,0
339,1,[1]male,[1000]head,1,36,[120]in consensual union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,22882.76954460611,[210]couple without children,1,0,1,0
340,1,[2]female,[1000]head,1,32,[221]separated,[2]good,[311]short-cycle tertiary,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,21432.203837594087,[400]relatives living together (no family nucleus),1,0,1,0
342,1,[1]male,[1000]head,1,33,[110]married,[1]excellent,[210]upper secondary,[100]dependent employed,[2]mining and construction,"[2]technical, sales, and administrative support occupations",[20]saves,[1]take substantial financial risks expecting to earn substantial returns,39361.66759454152,[210]couple without children,1,1,1,0
347,1,[1]male,[1000]head,1,32,[210]never married/not in union,[4]poor,[130]lower secondary,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,33699.12610328913,[100]one person household,1,0,1,0
348,1,[1]male,[1000]head,1,48,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,19133.427317386413,[220]couple with children,1,1,1,0
350,1,[2]female,[1000]head,1,64,[222]divorced,[1]excellent,[313]master or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,22218.14611414338,[100]one person household,1,1,1,0
353,1,[1]male,[1000]head,1,47,[110]married,[2]good,[311]short-cycle tertiary,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,14150.362012879332,[210]couple without children,1,1,1,0
354,1,[1]male,[1000]head,1,47,[110]married,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[20]saves,[4]not willing to take any financial risks,19152.51451018271,[210]couple without children,1,1,1,0
356,1,[1]male,[1000]head,1,39,[110]married,[3]fair,[210]upper secondary,[100]dependent employed,[7]public administration and defence,[3]service occupations (including armed forces),[20]saves,[3]take average financial risks expecting to earn average returns,24024.486765476464,[220]couple with children,1,1,1,0
357,1,[1]male,[1000]head,1,74,[223]widowed,[1]excellent,[210]upper secondary,[200]self-employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,688.7991178821242,[100]one person household,1,1,1,0
358,1,[1]male,[1000]head,1,55,[110]married,[1]excellent,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,9385.031604752454,[210]couple without children,1,1,1,0
359,1,[1]male,[1000]head,1,42,[110]married,[3]fair,[210]upper secondary,[100]dependent employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,28146.42654722919,[220]couple with children,1,1,1,0
360,1,[2]female,[1000]head,1,46,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,20245.451034868594,[330]one parent with children and relatives,1,1,1,0
